osm_id,name,amenity,lon,lat
7856667740,โรงพยาบาลบางกระทุ่ม,hospital,100.3169989,16.5755626
7856667745,โรงพยาบาลวังทอง,hospital,100.4348606,16.8391347
7856667682,โรงพยาบาลอัมพวา,hospital,99.9456793,13.4339945
7856667750,โรงพยาบาลบางระกำ,hospital,100.1189124,16.7599303
7856667772,โรงพยาบาลเวียงป่าเป้า,hospital,99.5102924,19.3528387
7856667764,โรงพยาบาลหนองม่วงไข่,hospital,100.1795625,18.2785843
7856667657,โรงพยาบาลกรุงสยามเซนต์คาร์ลอส,hospital,100.5540526,14.0049775
7856667670,โรงพยาบาลตุลาการเฉลิมพระเกียรติ,hospital,100.2738583,13.8529556
7856667761,โรงพยาบาลสูงเม่น,hospital,100.1175016,18.0598031
7856667429,โรงพยาบาลค่ายรามราชนิเวศน์,hospital,99.9447218,13.0944325
7856667766,โรงพยาบาลสอง,hospital,100.1818371,18.4604066
7856667667,โรงพยาบาลบางไทร,hospital,100.4941213,14.200738
7856667730,โรงพยาบาลคริสเตียนแม่น้ำแควน้อย,hospital,98.3470237,15.1602616
7856667782,โรงพยาบาลแม่ทา,hospital,99.1294375,18.4607882
7856667433,โรงพยาบาลมหาชัย 2,hospital,100.3009969,13.7072628
7856667461,โรงพยาบาลสัตหีบ กม.10,hospital,100.9741616,12.6973921
7856667641,โรงพยาบาลกรุณาพิทักษ์,hospital,100.5454212,13.7089878
7856667676,โรงพยาบาลนครท่าฉลอม,hospital,100.2683115,13.5356829
7856667724,โรงพยาบาลศุภมิตรเสนา,hospital,100.4111659,14.3163362
7856667693,โรงพยาบาลบ้านโป่ง,hospital,99.8706391,13.8170097
7856667768,โรงพยาบาลแม่เมาะ,hospital,99.6519828,18.2717585
7856667476,โรงพยาบาลเมืองสมุทรปู่เจ้าสมิงพราย,hospital,100.578348,13.6466072
7856667788,โรงพยาบาลแม่แจ่ม,hospital,98.3651501,18.49826
7856667706,โรงพยาบาลสามโก้,hospital,100.2615416,14.6039439
7856667777,โรงพยาบาลวังชิ้น,hospital,99.5986497,17.8894121
7856667431,โรงพยาบาลหนองหญ้าปล้อง,hospital,99.7100901,13.1263443
7856667432,โรงพยาบาลบ้านแหลม,hospital,99.9791694,13.2054894
7856667650,โรงพยาบาลบางใหญ่,hospital,100.4106563,13.8456898
7856667744,โรงพยาบาลพรานกระต่าย,hospital,99.5865798,16.6773579
7856667748,โรงพยาบาลพรหมพิราม,hospital,100.20109,17.0348745
7856667770,โรงพยาบาลปง,hospital,100.2854776,19.1733018
7856667781,โรงพยาบาลทุ่งหัวช้าง,hospital,99.0287608,17.9939225
7856632100,โรงพยาบาลเยาวรักษ์,hospital,100.4747209,13.7199502
7856667697,โรงพยาบาลดอนตูม,hospital,100.0857228,13.9659187
7856667689,โรงพยาบาลเจ็ดเสมียน,hospital,99.8276138,13.6350966
7856667757,โรงพยาบาลค่ายพระยาพิชัย,hospital,100.1398176,17.6639478
7856667669,โรงพยาบาลไทรน้อย,hospital,100.3256249,13.9818272
7856667729,โรงพยาบาลศุกร์ศิริศรีสวัสดิ์,hospital,99.1296494,14.4426597
7856667668,โรงพยาบาลลาดหลุมแก้ว,hospital,100.4162407,14.0372277
7856667648,โรงพยาบาลพระราม 2,hospital,100.4220718,13.6517497
7856667427,โรงพยาบาลท่ายาง,hospital,99.8910588,12.9666185
7856667727,โรงพยาบาลลาดบัวหลวง,hospital,100.2995109,14.1658088
7856667675,โรงพยาบาลหลวงพ่อทวีศักดิ์,hospital,100.3453177,13.6563448
7856667785,โรงพยาบาลเซ็นทรัลนิคมลำพูน,hospital,99.0435076,18.5878587
7856667778,โรงพยาบาลสบปราบ,hospital,99.3404174,17.8796458
7856632098,โรงพยาบาลห้วยพลู,hospital,100.2117866,13.8710592
7856632099,โรงพยาบาลเมตตาประชารักษ์,hospital,100.2560109,13.7390047
7856667780,โรงพยาบาลลี้,hospital,98.9487773,17.8040197
7856667481,โรงพยาบาลสมุทรปราการ,hospital,100.5977082,13.5844603
7856667790,โรงพยาบาลพญาเม็งราย,hospital,100.1458579,19.8505393
7856667684,โรงพยาบาลปากท่อ,hospital,99.8402873,13.3728569
7856667708,โรงพยาบาลไชโย,hospital,100.4439103,14.7026669
7856667786,โรงพยาบาลหมอวงศ์,hospital,99.0127078,18.7842085
7856667787,โรงพยาบาลกองบิน 41,hospital,98.9721823,18.7781291
7856667792,โรงพยาบาลแม่ฟ้าหลวง,hospital,99.651103,20.249691
7856667779,โรงพยาบาลเถิน,hospital,99.2403334,17.6371104
7856667731,โรงพยาบาลลานสัก,hospital,99.5491469,15.4613324
7856667762,โรงพยาบาลแพร่พร้อมมิตร,hospital,100.1503587,18.1419266
7856667642,โรงพยาบาลพระประแดง,hospital,100.5375946,13.6526802
7856667645,โรงพยาบาลรามาสุขสวัสดิ์,hospital,100.4985952,13.677492
7856667743,โรงพยาบาลทุ่งโพธิ์ทะเล,hospital,99.6869802,16.4896291
7856667425,โรงพยาบาลธนบุรี-คีรีขันธ์,hospital,99.7742808,11.7946321
7856667704,โรงพยาบาลบ้านแพรก,hospital,100.5879235,14.6541154
7856667726,โรงพยาบาลบางซ้าย,hospital,100.2976441,14.3171159
7856667634,โรงพยาบาลราชานุกูล,hospital,100.5541974,13.7620932
7856667700,โรงพยาบาลวัดสระแก้ว,hospital,100.4641664,14.4587425
7856667718,โรงพยาบาลสามชุก,hospital,100.0752783,14.7538014
7856667716,โรงพยาบาลบางระจัน,hospital,100.2744591,14.9219372
7856667701,โรงพยาบาลป่าโมก,hospital,100.4440391,14.4969293
7856667773,โรงพยาบาลงาว,hospital,99.9820715,18.7557704
7856667643,โรงพยาบาลราษฎร์บูรณะ,hospital,100.5025864,13.678055
7856667717,โรงพยาบาลสามชุกเศรษฐกร,hospital,100.086447,14.7619975
7856667422,โรงพยาบาลปะทิว,hospital,99.3181979,10.7081351
7856667680,โรงพยาบาลกระทุ่มแบน,hospital,100.2549541,13.6545464
7856667423,โรงพยาบาลมาบอำมฤต,hospital,99.3371021,10.8654441
7856667672,โรงพยาบาลนิติจิตเวช,hospital,100.3323036,13.762015
7856667686,โรงพยาบาลดำเนินสะดวก,hospital,99.9660802,13.5361497
7856632104,โรงพยาบาลพรหมบุรี,hospital,100.4584506,14.7485255
7856667791,โรงพยาบาลแม่อาย,hospital,99.302212,20.0389334
7856667430,โรงพยาบาลวัชรเวช,hospital,99.9425733,13.1071862
7856667753,โรงพยาบาลบ้านตาก,hospital,99.0723252,17.0562103
7856667765,โรงพยาบาลร้องกวาง,hospital,100.2910995,18.3063837
7856667767,โรงพยาบาลค่ายสุรศักดิ์มนตรี,hospital,99.5192993,18.2947409
7856667755,โรงพยาบาลศรีสัชนาลัย,hospital,99.7571897,17.5168197
7856667647,โรงพยาบาลมิตรภาพ,hospital,100.4945505,13.7284992
7856667720,โรงพยาบาลดอนเจดีย์,hospital,100.0200462,14.6345174
7856667741,โรงพยาบาลไทรงาม,hospital,99.8843694,16.4770367
7856667756,โรงพยาบาลลับแล,hospital,100.0508112,17.6501769
7856667705,โรงพยาบาลอ่างทองเวชชการ 2,hospital,100.4421186,14.590374
7856667707,โรงพยาบาลวิเศษชัยชาญ,hospital,100.3468198,14.5924687
7856667685,โรงพยาบาลวัดเพลง,hospital,99.8852277,13.4560432
7856667699,โรงพยาบาลนครหลวง,hospital,100.6059372,14.4635734
7856667723,โรงพยาบาลศุภมิตร,hospital,100.1235555,14.4717034
7856667692,โรงพยาบาลซานคามิลโล,hospital,99.8792142,13.81042
7856667677,โรงพยาบาลมหาชัย,hospital,100.2719754,13.5568018
7856667775,โรงพยาบาลเกาะคา,hospital,99.4065177,18.1992668
7856667683,โรงพยาบาลแม่กลอง 2,hospital,99.991293,13.384988
7856667424,โรงพยาบาลบางสะพานน้อย,hospital,99.4147521,11.0689182
7856667738,โรงพยาบาลสมเด็จพระยุพราชตะพานหิน,hospital,100.4392648,16.2162199
7856667696,โรงพยาบาลกรุงเทพคริสเตียนนครปฐม,hospital,100.0652924,13.8241384
1287571763,โรงพยาบาลจอมทอง,hospital,98.6742731,18.4065761
1402295031,โรงพยาบาลสุขศรีสวัสด์ิ,hospital,99.1136322,14.5955323
2430814131,โรงพยาบาลสวนผึ้ง,hospital,99.4394863,13.5445489
4963221121,โรงพยาบาลปราณบุรี,hospital,99.9328534,12.3845063
2391364878,โรงพยาบาลเดชา,hospital,100.5355632,13.7568871
1034233555,โรงพยาบาลกาญจนบุรีเมมโมเรียล,hospital,99.4980117,14.0563493
2112296382,โรงพยาบาลสิงห์บุรี,hospital,100.3974611,14.89687
4995170822,โรงพยาบาลศรีสังวร สุโขทัย,hospital,99.8648261,17.1666417
947862089,เลาขวัญ,hospital,99.7701201,14.5842797
947862104,โรงพยาบาลค่ายสุรสีห์,hospital,99.4256476,14.1050583
943259842,โรงพยาบาลสว่างอารมณ์,hospital,99.8622885,15.5772798
1034233680,โรงพยาบาลแสงชูโต,hospital,99.531908,14.0250771
4447552489,โรงพยาบาลสบเมย,hospital,97.9315006,17.9636973
6002648286,โรงพยาบาลเชียง รายอินเดอร์,hospital,99.8311234,19.8950679
5677576122,โรงพยาบาลแม่ลาน้อย,hospital,97.9430603,18.3799462
4740859121,รพ.ตา หู คอ จมูก,hospital,100.4704126,13.7878138
4851138630,อายุรกรรมหญิง,hospital,98.9671544,18.8527458
3724097433,Samphran Hospital,hospital,100.2133854,13.7443109
4634580490,,hospital,98.9749946,18.7894274
6225656085,,hospital,99.1723869,10.4968895
5616138226,,hospital,100.551553,13.8445953
5416625723,,hospital,98.9196989,18.7351593
4866262621,,hospital,100.5947191,13.7428473
4547958089,,hospital,100.4106481,14.6509369
7745889986,,hospital,100.2975798,19.911481
2022136579,,hospital,99.586951,17.0131913
1669899707,โรงพยาบาลสนามจันทร์,hospital,100.0391289,13.805757
7502764096,,hospital,100.3345993,14.9887427
8567210583,,hospital,98.8898552,18.4373307
6310491264,,hospital,98.9853388,14.6390945
8238022070,สำนักงานสาธารณสุขเด่นชัย,hospital,100.0484475,17.9818179
8244996949,โรงพยาบาลส่งเสริมสุขภาพตำบลบึงพระ,hospital,100.2688479,16.745616
8236877996,สถานีอนามัยวงฆ้อง,hospital,100.1650468,17.1055229
8238022064,รพ.ยุพราชเด่นชัย,hospital,100.0549475,17.9826605
7085692216,สถานพยาบาล,hospital,100.5683091,13.8467373
6903140148,โรงพยาบาลจิตเวชนครสวรรค์ราชนครินทร์,hospital,100.1463019,15.4239988
8711721902,ศูนย์แพทยศาสตรศึกษาชั้นคลินิก รพ.ราชบุรี,hospital,99.8152349,13.5297481
8711721903,ตึกศรีนครินทร,hospital,99.8170916,13.5305348
6900224387,โรงพยาบาลพยุหะคีรี,hospital,100.1391466,15.4779789
5311406721,Dansingkhon Primary Health Care Unit,hospital,99.6800285,11.77861
6899984399,กู้ภัยพยุหะ,hospital,100.1386472,15.4597413
5261686348,โรงพยาบาลส้ตว์ M. A. H.,hospital,100.517669,13.6632862
6490257032,รพ.อุ้มผาง,hospital,98.866418,16.0172937
6494112674,มาลาเรียคลินิกบ้านแพะ ม.12 ต.แม่ตื่น,hospital,98.6033219,17.1434051
6493571002,สสช.บ้านกุยต๊ะ,hospital,98.6600159,15.7896557
6490251057,MCบ้านหนองหลวง,hospital,98.7623352,16.0787873
6496772140,สสช.บ้านกิ่วห้าง,hospital,98.8748476,15.9848447
7117508129,โรงพยาบาลพุทธมณฑล,hospital,100.2887262,13.79833
8153182388,รพ.สต.บ้านวังเตย,hospital,99.6997968,15.4482466
