system:index,0_202301,10_202311,11_202312,12_202401,13_202402,14_202403,15_202404,16_202405,17_202406,18_202407,1_202302,2_202303,3_202304,4_202305,5_202306,6_202307,7_202308,8_202309,9_202310,ID,.geo
0000000000000000000a,0.5712777858178733,0.7577968244614557,0.7276892285706241,0.5701492950923563,0.25665469793883994,0.40019657355782934,0.5368136271469661,0.586924390010911,0.691123351223336,0.6198690858433519,0.2543615275709252,0.34342540483275436,0.3716540390199315,0.4195712264780899,0.5341610577295983,0.5582439185574619,,0.7984692615368372,0.7286285904334804,4310016,"{""type"":""Polygon"",""coordinates"":[[[99.82027679608292,16.14924984705905],[99.8206469227739,16.148527454102602],[99.82242162888342,16.149107173713638],[99.8214005489271,16.14988744939295],[99.82027679608292,16.14924984705905]]]}"
0000000000000000000b,0.5737586697655142,0.7483243405876987,0.718393314397125,0.555121557128255,0.24700320065292355,0.3346222887768708,0.4682271268982415,0.5381185125593563,0.588072011833152,0.6367492351963182,0.26111709238751907,0.3427971152583288,0.38219862618305644,0.4729880670776991,0.5432970909246018,0.5549248705278792,,0.7583964285079352,0.705370545295194,4310017,"{""type"":""Polygon"",""coordinates"":[[[99.81900150181413,16.14853637473451],[99.81941172592114,16.147270022845337],[99.81976405363632,16.147412638260345],[99.82111513916686,16.14759104971712],[99.82026342829823,16.149236446636944],[99.81900150181413,16.14853637473451]]]}"
0000000000000000000c,0.6399113412440116,0.6074987912115614,0.6353701936567461,0.6197198796394083,0.3786225218597588,0.2383511890641166,0.3322455414088691,0.3390153828075366,0.43940676732543865,0.5631175210681745,0.5373065789857217,0.28737007668148706,0.26736844256390396,0.35033434566256355,0.4662618785859142,0.5199439645218091,,0.6940436713206811,0.7061270052678946,4310018,"{""type"":""Polygon"",""coordinates"":[[[99.81799374502131,16.149945442312497],[99.81878302294642,16.148438231469896],[99.8195901033527,16.148893073134115],[99.82025448806122,16.14924981398316],[99.81953663265631,16.150618777744103],[99.81799374502131,16.149945442312497]]]}"
0000000000000000000d,0.3246779491003614,0.4435178316127015,0.3276084909055248,0.2982967922617681,0.49460379772140955,0.5808546962763259,0.4751648183486356,0.46234044600020746,0.6136781282120317,0.6573463782530997,0.4172447829993719,0.439723464109146,0.3680620535227127,0.4735278116826749,0.5638852094898271,0.522161875158354,,0.5430289207830101,0.47837238042711194,4310019,"{""type"":""Polygon"",""coordinates"":[[[99.8195143248279,16.150792648043474],[99.82029467656253,16.149298883854794],[99.82139603617586,16.149918712028896],[99.82013409296074,16.151073551603588],[99.8195143248279,16.150792648043474]]]}"
0000000000000000000e,0.5635793863490283,0.6374474912489384,0.6368753202832074,0.5981330457643966,0.3645891572861247,0.22300468040657867,0.24810951224990954,0.18303569772146017,0.4583844640131737,0.6581473060216225,0.48423194486870147,0.24923422437034923,0.28060560048762384,0.4581351711424662,0.5609245110844233,0.48101787238694454,,0.68175798949937,0.6961882035801947,4310020,"{""type"":""Polygon"",""coordinates"":[[[99.81676301390084,16.14747507441901],[99.81721784169605,16.146516404685112],[99.8172803360077,16.14647625160281],[99.8173784198152,16.14647180654465],[99.81921112625695,16.147185249432017],[99.81876071531484,16.148415928113696],[99.81676301390084,16.14747507441901]]]}"
0000000000000000000f,0.5881093371791796,0.6468527881340338,0.6288492876158869,0.5999961841762964,0.3589981619399772,0.2181074787233559,0.24612068811392634,0.19100249327185898,0.5025464017739388,0.5963805981965382,0.4585673400695706,0.24677375511226876,0.32634711825793294,0.48090881966932636,0.5681048638745194,0.4963390490215874,,0.5794818997681855,0.6567504912695487,4310021,"{""type"":""Polygon"",""coordinates"":[[[99.81595596020985,16.148986734601937],[99.81597826710882,16.148928741317714],[99.8161833716554,16.14852301032874],[99.81674964666607,16.14749290500655],[99.81876071531484,16.148429325637604],[99.81795807017195,16.14993653334158],[99.81769949181671,16.14983394311532],[99.81699494001414,16.149512941953624],[99.81655348060805,16.149312244253657],[99.81646425244604,16.14929445362051],[99.8163751095185,16.149281006586715],[99.81609865635126,16.14912050344076],[99.81599163422284,16.149053582226635],[99.81595596020985,16.148986734601937]]]}"
00000000000000000010,0.4664651535441214,0.5638287082340033,0.5488321729170591,0.5581532353319949,0.5039934915094002,0.5284114776334571,0.5387631625538146,0.5780896265139068,0.7369111771060894,0.5698849831348786,0.42946153998009734,0.42971827813510005,0.42513870483058,0.5961839450138978,0.673936237079621,0.4306841206341159,,0.7809237675343492,0.764786656874256,4310022,"{""type"":""Polygon"",""coordinates"":[[[99.81573748913317,16.149606560436418],[99.81599606154768,16.149102709342717],[99.81632155569369,16.14929883180375],[99.81637068217401,16.149361331030295],[99.81621904576342,16.149691304506774],[99.8162591472248,16.149718020664924],[99.81621453328593,16.149798251029175],[99.81573748913317,16.149606560436418]]]}"
00000000000000000011,0.5892358454983943,0.7466524745670955,0.7406521133525805,0.7191803763550123,0.52196840718628,0.43118446694381823,0.4062746252074547,0.4727187564208997,0.6528514728446968,0.6789770942609917,0.2502111640522288,0.23604799231806997,0.21713075118710834,0.28413717006300887,0.2858791300007404,0.21608325096008937,,0.6269778932771581,0.6825500953861344,4310023,"{""type"":""Polygon"",""coordinates"":[[[99.81547883236131,16.150083710265232],[99.81551893347508,16.149958792663394],[99.81562595501103,16.149883041826335],[99.81563046745741,16.149833944870423],[99.81575528352185,16.149624370472388],[99.81625020740694,16.149842917153816],[99.8162591472248,16.14989192455521],[99.81691907865005,16.150146139904894],[99.81671397233642,16.150632172921444],[99.81547883236131,16.150083710265232]]]}"
00000000000000000012,0.3827070999220243,0.7310448630671981,0.6985443732621546,0.5840291088107745,0.21439464662813504,0.23661058525364986,0.33855454385965505,0.48285784157577066,0.6506523269325906,0.6601861702676759,0.2656927349777027,0.3289778953539648,0.37463964849299036,0.4296885610645595,0.5353320845117426,0.5415607571508374,,0.7511944191878613,0.7119386071788785,4310024,"{""type"":""Polygon"",""coordinates"":[[[99.81482776659512,16.150997792304675],[99.81494815421543,16.150765884396396],[99.8150730544224,16.150618768776233],[99.81521123666387,16.15048053312283],[99.81530046351655,16.150409153676645],[99.81537623830245,16.150315504517405],[99.81547440506326,16.150106007877678],[99.8167184848403,16.15065893724025],[99.81634386268819,16.1515239544611],[99.81602730825075,16.151439214508105],[99.81527372950701,16.15122073441802],[99.81494815421543,16.1511048225474],[99.81485007319935,16.151069162724323],[99.81482776659512,16.150997792304675]]]}"
00000000000000000013,0.38556114225571997,0.7322203913486648,0.6878612895511914,0.5630609448073373,0.228011842988918,0.2409676695810065,0.36083905265919264,0.455987465436392,0.632842812602306,,0.28622686149804494,0.3537531586961804,0.3911583299079767,0.4440235978583582,0.5131506543434742,0.528682326989196,,0.7593831246423406,0.7359036593639234,4310025,"{""type"":""Polygon"",""coordinates"":[[[99.81637068217401,16.15151952036772],[99.81673185207018,16.15066781302001],[99.81843078442105,16.15146596970361],[99.81823452935845,16.151916372564266],[99.8181765469295,16.151943098801997],[99.81810519709298,16.151934242510137],[99.81788672051795,16.15189403674887],[99.81705734902074,16.15170231560829],[99.81646876493673,16.151550742871816],[99.81637068217401,16.15151952036772]]]}"
